Date (GMT);VOC (ppm);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2023-10-20T23:57:00.000Z;1.386;34;9;946.0;36.2234217;-115.066755;;;
2023-10-20T23:56:00.000Z;1.176;34;9;946.0;36.2233848;-115.0666814;;;
2023-10-20T23:55:00.000Z;0.754;34;9;946.0;36.2233725;-115.0667488;;;
2023-10-20T23:54:00.000Z;0.317;33;9;946.0;36.2234389;-115.0667461;;;
2023-10-20T23:53:00.000Z;0.356;33;9;946.0;36.2233732;-115.0666684;3.0;4.0;5.0
2023-10-20T23:52:00.000Z;0.372;33;9;946.0;36.223402;-115.0667829;;;
2023-10-20T23:51:00.000Z;0.319;33;9;946.1;36.2233774;-115.0666651;3.0;5.0;6.0
2023-10-20T23:50:00.000Z;0.472;33;9;946.0;36.2234217;-115.066755;3.0;5.0;6.0
2023-10-20T23:49:00.000Z;1.756;34;9;946.13;36.2233849;-115.0666998;;;
2023-10-20T23:48:00.000Z;1.801;34;9;946.1;36.2234313;-115.0667226;2.0;3.0;4.0
2023-10-20T23:47:00.000Z;1.672;34;9;946.11;36.2234313;-115.0667226;2.0;3.0;4.0
2023-10-20T23:46:00.000Z;1.588;34;9;946.08;36.2234313;-115.0667226;2.0;3.0;4.0
2023-10-20T06:23:00.000Z;0.611;20;27;950.7;36.185563;-115.0871979;;;
2023-10-19T23:59:00.000Z;2.529;32;42;952.2;36.1742717;-115.0829667;;;
2023-10-19T23:46:00.000Z;1.4;31;23;952.2;36.1742717;-115.0829667;6.0;7.0;8.0
