Date (GMT);VOC (ppm);PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude
2023-11-12T22:28:00.000Z;0.212;1.1;2.6;3.3;24;7;953.7;36.2235016;-115.0666997
2023-11-12T22:27:00.000Z;0.216;;;;24;8;953.76;36.2234212;-115.0668498
2023-11-07T22:34:00.000Z;0.627;;;;25;20;944.7;36.2248067;-115.0661926
2023-11-07T22:33:00.000Z;0.33;;;;25;20;944.7;36.2248136;-115.0661846
2023-11-07T22:32:00.000Z;1.0;2.0;3.0;4.0;25;20;944.8;36.2247418;-115.0660908
2023-11-07T22:31:00.000Z;1.444;;;;25;20;944.7;36.2247418;-115.0660908
2023-11-07T22:30:00.000Z;1.439;;;;25;20;944.7;36.2247418;-115.0660908
2023-11-07T22:29:00.000Z;1.441;;;;25;20;944.7;36.2247418;-115.0660908
2023-11-07T22:28:00.000Z;1.381;;;;25;20;944.7;36.2247418;-115.0660908
2023-11-07T22:27:00.000Z;1.301;;;;25;20;944.6;36.2247418;-115.0660908
2023-11-07T22:26:00.000Z;1.214;;;;25;20;944.7;36.2247418;-115.0660908
2023-11-07T22:25:00.000Z;1.063;;;;25;20;944.6;36.2247418;-115.0660908
2023-11-07T22:24:00.000Z;0.869;;;;25;20;944.6;36.2247418;-115.0660908
2023-11-07T22:23:00.000Z;0.471;;;;25;20;944.6;36.2247418;-115.0660908
2023-11-07T22:22:00.000Z;0.307;;;;24;21;944.6;36.2247418;-115.0660908
2023-11-07T22:21:00.000Z;0.323;3.0;5.0;5.0;24;21;944.6;36.2247418;-115.0660908
2023-11-07T22:20:00.000Z;0.363;4.0;6.0;7.0;24;21;944.6;36.2247418;-115.0660908
