Date (GMT);VOC (ppm);Pressure (mbar);Latitude;Longitude;PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3)
2023-12-12T21:48:00.000Z;3.007;947.6;36.2245779;-115.0661241;;;
2023-12-12T21:47:00.000Z;2.614;947.7;36.2245779;-115.0661241;;;
2023-12-12T21:46:00.000Z;2.325;947.6;36.2247861;-115.0662243;;;
2023-12-12T21:45:00.000Z;2.052;947.6;36.2247861;-115.0662243;;;
2023-12-12T21:44:00.000Z;1.815;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:43:00.000Z;3.289;947.7;36.2247861;-115.0662243;2.1;4.3;6.6
2023-12-12T21:42:00.000Z;4.533;947.6;36.2247861;-115.0662243;;;
2023-12-12T21:41:00.000Z;4.376;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:40:00.000Z;4.396;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:39:00.000Z;4.193;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:38:00.000Z;3.983;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:37:00.000Z;3.741;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:36:00.000Z;3.577;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:35:00.000Z;2.758;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:34:00.000Z;2.243;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:33:00.000Z;1.929;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:32:00.000Z;2.388;947.7;36.2247861;-115.0662243;1.7;5.2;8.7
2023-12-12T21:31:00.000Z;4.736;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:30:00.000Z;4.992;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:29:00.000Z;4.756;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:28:00.000Z;4.474;947.8;36.2247861;-115.0662243;;;
2023-12-12T21:27:00.000Z;4.029;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:26:00.000Z;4.016;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:25:00.000Z;3.577;947.8;36.2247861;-115.0662243;;;
2023-12-12T21:24:00.000Z;3.02;947.8;36.2247861;-115.0662243;;;
2023-12-12T21:23:00.000Z;2.31;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:22:00.000Z;1.897;947.8;36.2247861;-115.0662243;;;
2023-12-12T21:21:00.000Z;2.101;947.8;36.2247861;-115.0662243;1.8;5.7;10.3
2023-12-12T21:20:00.000Z;2.555;947.7;36.2247861;-115.0662243;;;
2023-12-12T21:19:00.000Z;2.314;947.7;36.2248075;-115.0662379;;;
2023-12-12T21:18:00.000Z;2.311;947.7;36.2248075;-115.0662379;;;
2023-12-12T21:17:00.000Z;2.328;947.7;36.2248075;-115.0662379;;;
2023-12-12T21:16:00.000Z;2.274;947.9;36.2248075;-115.0662379;;;
2023-12-12T21:15:00.000Z;2.252;947.8;36.2248075;-115.0662379;;;
