Date (GMT);VOC (ppm);PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude
2023-10-29T19:54:00.000Z;0.211;1.0;3.0;4.0;20;9;949.9;36.28831729664839;-115.13232103428417
2023-10-29T19:53:00.000Z;0.222;;;;20;8;949.9;36.287628173828125;-115.132836293274
2023-10-29T19:52:00.000Z;0.203;;;;20;9;950.0;36.287628173828125;-115.132836293274
2023-10-29T19:51:00.000Z;0.183;2.0;3.0;5.0;20;9;950.1;36.287994384765625;-115.13111186495776
2023-10-29T19:50:00.000Z;0.184;;;;20;9;950.0;36.287994384765625;-115.13111186495776
2023-10-29T19:49:00.000Z;0.22;;;;20;9;949.9;36.287994384765625;-115.13111186495776
2023-10-29T19:48:00.000Z;0.23;;;;21;8;949.7;36.287994384765625;-115.13111186495776
2023-10-29T19:47:00.000Z;0.263;;;;22;8;950.0;36.287994384765625;-115.13111186495776
2023-10-29T19:46:00.000Z;0.255;;;;22;8;950.0;36.28814697265625;-115.13183949409985
2023-10-29T19:45:00.000Z;0.251;;;;22;8;950.0;36.28814697265625;-115.13183949409985
2023-10-29T19:44:00.000Z;0.292;;;;22;8;950.1;36.28814697265625;-115.13183949409985
2023-10-29T19:43:00.000Z;0.195;;;;21;9;950.0;36.2879638671875;-115.13098801763876
2023-10-29T19:42:00.000Z;0.217;;;;21;8;949.9;36.2879638671875;-115.13098801763876
2023-10-29T19:41:00.000Z;0.231;;;;22;8;949.8;36.2879638671875;-115.13098801763876
2023-10-29T19:40:00.000Z;0.192;2.0;3.0;5.0;22;8;949.8;36.2879638671875;-115.13098801763876
2023-10-29T19:39:00.000Z;0.198;;;;23;7;949.8;36.2879638671875;-115.13098801763876
2023-10-29T19:38:00.000Z;0.24;;;;23;7;949.9;36.288421630859375;-115.13294239132958
2023-10-29T19:37:00.000Z;0.268;;;;23;7;950.0;36.2886962890625;-115.13194497235452
2023-10-29T19:36:00.000Z;0.257;;;;24;7;950.0;36.2886962890625;-115.13194497235452
2023-10-29T19:35:00.000Z;0.289;;;;24;7;950.1;36.2886962890625;-115.13194497235452
2023-10-29T19:34:00.000Z;0.284;;;;24;7;950.1;36.28839111328125;-115.13286118929133
2023-10-29T19:33:00.000Z;0.29;;;;24;7;950.1;36.28826904296875;-115.13272855157938
2023-10-29T19:32:00.000Z;0.346;;;;24;7;950.2;36.288330078125;-115.13263125655284
2023-10-29T19:31:00.000Z;0.326;;;;24;7;950.1;36.2882080078125;-115.13237673769827
2023-10-29T19:30:00.000Z;0.299;;;;24;6;950.1;36.2882080078125;-115.13237673769827
2023-10-29T19:29:00.000Z;0.356;1.0;3.0;4.0;24;7;950.2;36.28802490234375;-115.13303238909238
2023-10-29T19:28:00.000Z;0.727;;;;25;6;950.2;36.28802490234375;-115.13303238909238
2023-10-29T19:27:00.000Z;0.676;;;;25;6;950.2;36.28802490234375;-115.13303238909238
2023-10-29T19:26:00.000Z;0.269;;;;25;6;950.3;36.2884521484375;-115.13272644657808
2023-10-29T19:25:00.000Z;0.236;;;;26;6;950.3;36.28839111328125;-115.13292452994475
2023-10-29T19:24:00.000Z;0.255;;;;26;6;950.2;36.28839111328125;-115.13292452994475
2023-10-29T19:23:00.000Z;0.282;;;;27;5;950.2;36.2879638671875;-115.13096609473679
2023-10-29T19:22:00.000Z;0.35;;;;28;5;950.2;36.2879638671875;-115.13096609473679
2023-10-29T19:21:00.000Z;0.364;;;;28;5;950.3;36.2879638671875;-115.13096609473679
2023-10-29T19:20:00.000Z;0.343;;;;28;5;950.3;36.28839111328125;-115.13286213259595
2023-10-29T19:19:00.000Z;0.445;;;;28;5;950.2;36.28839111328125;-115.13286213259595
2023-10-29T19:18:00.000Z;0.33;2.0;3.0;4.0;28;5;950.4;36.288116455078125;-115.13238769328804
2023-10-29T19:17:00.000Z;0.36;;;;28;5;950.4;36.288116455078125;-115.13238769328804
2023-10-29T19:16:00.000Z;0.627;;;;29;4;950.4;36.288116455078125;-115.13238769328804
