Date (GMT);VOC (ppm);PM1 (ug/m3);PM2.5 (ug/m3);PM10 (ug/m3);Temperature (C);Humidity (%);Pressure (mbar);Latitude;Longitude
2023-10-30T18:00:00.000Z;3.328;1.0;3.0;4.0;18.0;35.0;962.0;36.1487049;-115.1091196
2023-10-30T17:59:00.000Z;6.04;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:58:00.000Z;5.883;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:57:00.000Z;5.955;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:56:00.000Z;5.739;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:55:00.000Z;5.627;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:54:00.000Z;5.457;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:53:00.000Z;5.444;;;;19.0;34.0;962.1;36.1487049;-115.1091196
2023-10-30T17:52:00.000Z;5.077;;;;19.0;34.0;962.2;36.1487049;-115.1091196
2023-10-30T17:51:00.000Z;4.501;;;;19.0;34.0;962.2;36.1487049;-115.1091196
2023-10-30T17:50:00.000Z;3.531;;;;19.0;34.0;962.2;36.1487049;-115.1091196
2023-10-30T17:49:00.000Z;3.184;2.0;4.0;5.0;18.0;36.0;962.2;36.1487049;-115.1091196
2023-10-30T17:48:00.000Z;6.112;;;;19.0;34.0;962.2;36.1487049;-115.1091196
2023-10-30T17:47:00.000Z;6.034;;;;19.0;34.0;962.2;36.1487049;-115.1091196
2023-10-30T17:46:00.000Z;5.975;;;;19.0;34.0;962.3;36.1486757;-115.109273
2023-10-30T17:45:00.000Z;5.811;;;;19.0;34.0;962.3;36.1504664;-115.1094263
2023-10-30T17:44:00.000Z;5.752;;;;19.0;34.0;962.2;36.1486103;-115.1090922
2023-10-30T17:43:00.000Z;5.536;;;;19.0;34.0;962.2;36.1486103;-115.1090922
2023-10-30T17:42:00.000Z;5.359;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:41:00.000Z;5.182;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:40:00.000Z;4.579;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:39:00.000Z;3.682;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:38:00.000Z;3.328;1.0;3.0;4.0;18.0;36.0;962.4;36.1486103;-115.1090922
2023-10-30T17:37:00.000Z;6.027;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:36:00.000Z;6.152;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:35:00.000Z;6.04;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:34:00.000Z;5.896;;;;19.0;34.0;962.4;36.1486103;-115.1090922
2023-10-30T17:33:00.000Z;5.772;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:32:00.000Z;5.608;;;;19.0;34.0;962.4;36.1486103;-115.1090922
2023-10-30T17:31:00.000Z;5.464;;;;19.0;34.0;962.3;36.1486103;-115.1090922
2023-10-30T17:30:00.000Z;5.208;;;;19.0;35.0;962.3;36.1486103;-115.1090922
2023-10-30T17:29:00.000Z;4.736;;;;19.0;35.0;962.3;36.1486103;-115.1090922
2023-10-30T17:28:00.000Z;3.832;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:27:00.000Z;3.073;;;;18.0;36.0;962.4;36.1486103;-115.1090922
2023-10-30T17:26:00.000Z;6.191;1.0;2.0;4.0;19.0;34.0;962.4;36.1486103;-115.1090922
2023-10-30T17:25:00.000Z;6.047;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:24:00.000Z;6.047;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:23:00.000Z;6.04;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:22:00.000Z;5.798;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:21:00.000Z;5.68;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:20:00.000Z;5.582;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:19:00.000Z;5.208;;;;19.0;35.0;962.5;36.1486103;-115.1090922
2023-10-30T17:18:00.000Z;4.828;;;;19.0;35.0;962.5;36.1486103;-115.1090922
2023-10-30T17:17:00.000Z;3.957;;;;19.0;35.0;962.4;36.1486103;-115.1090922
2023-10-30T17:16:00.000Z;3.125;;;;18.0;36.0;962.5;36.1486103;-115.1090922
2023-10-30T17:15:00.000Z;6.132;1.0;3.0;4.0;19.0;35.0;962.4;36.1486103;-115.1090922
